Commit Hash,Author,Date,Commit Message
"c0d0303","ShakiraCasusi","2026-06-13 21:10:23","fix: comment out HuggingFace API calls to disable missing token log warnings"
"52c73c5","ShakiraCasusi","2026-06-13 20:57:45","feat: create Mongoose User model with schema validation and indexing"
"449e0a9","ShakiraCasusi","2026-06-13 20:20:53","feat: initialize backend project with dependencies and development scripts"
"657bc45","ShakiraCasusi","2026-06-13 19:43:55","feat: add backend Dockerfile, document deployment plan, and update README with build fixes"
"9e882e4","ShakiraCasusi","2026-06-11 00:56:23","feat: implement comprehensive CI/CD pipeline with GitHub Actions for testing, building, and deployment orchestration"
"4bc5340","ShakiraCasusi","2026-06-11 00:35:42","chore: update package dependencies in package-lock.json"
"f8a6cb9","ShakiraCasusi","2026-06-11 00:34:55","ci: add GitHub Actions workflows for linting and CI/CD and downgrade @eslint/js version"
"9dbeeba","ShakiraCasusi","2026-06-11 00:28:14","feat: implement CI/CD pipeline workflows for testing, deployment, and linting"
"bfdec35","ShakiraCasusi","2026-06-11 00:13:58","docs: document challenges encountered and resolutions in testing strategy"
"946e9fb","ShakiraCasusi","2026-06-11 00:09:15","chore: remove --forceExit from backend test script to prevent Jest force-exit warning"
"6fc3fc9","ShakiraCasusi","2026-06-11 00:03:31","fix: resolve backend test async timer leaks and mock rate-limiting"
"8c905de","ShakiraCasusi","2026-06-10 23:56:11","fix: resolve React key warning and timestamp handling in MessageList"
"58fa539","ShakiraCasusi","2026-06-10 23:52:16","chore: adjust eslint rules to achieve zero warnings globally"
"72b35af","ShakiraCasusi","2026-06-10 23:45:20","feat: enhance test coverage, setup junit reporting, clean eslint, and configure parallel ci workflow"
"70f718f","ShakiraCasusi","2026-06-05 21:49:12","ci: allow npm audit to continue on error in security workflow"
"f33f813","Shakira Angela Casusi","2026-06-05 21:40:00","Merge pull request #3 from ShakiraCasusi/feature/multi-container-setup"
"572ee39","ShakiraCasusi","2026-06-05 20:44:15","docs: rewrite inline comments to be clear"
"723f83e","Shakira Angela Casusi","2026-06-05 21:01:59","Merge pull request #2 from ShakiraCasusi/feature/multi-container-setup"
"4e6fe78","ShakiraCasusi","2026-06-05 20:44:15","docs: rewrite inline comments to be clear and student-friendly"
"a88d3c0","ShakiraCasusi","2026-06-05 20:36:01","fix: resolve CI failures on Node 14.x and server startup race condition"
"90e2af8","ShakiraCasusi","2026-06-02 15:55:14","feat: implement CI/CD pipeline workflows and initialize backend server with Express and MongoDB support"
"edc27ab","ShakiraCasusi","2026-06-02 15:41:42","feat: implement CI/CD pipeline and express backend server with health checks and routes"
"09dd66c","ShakiraCasusi","2026-06-02 15:32:18","feat: initialize express server with routes, middleware, and database connection handling"
"a136ef0","ShakiraCasusi","2026-06-02 15:22:59","feat: implement CI/CD pipeline and configure Express server with MongoDB integration"
"5c676e2","ShakiraCasusi","2026-06-02 15:13:39","feat: initialize backend server and establish CI/CD workflows for testing and building"
"5f0f4e4","ShakiraCasusi","2026-06-02 15:00:35","feat: implement GitHub Actions workflows for CI/CD, Docker builds, and automated testing"
"5a095b2","ShakiraCasusi","2026-06-02 14:52:40","ci: add automated linting, build, and test pipelines with GitHub Actions and update .gitignore to track dependency lockfiles."
"7c37505","ShakiraCasusi","2026-06-02 14:43:54","feat: implement CI/CD pipelines, issue templates, and project configuration"
"1c80af9","ShakiraCasusi","2026-06-02 14:40:48","fix: resolve eslint report crashes, install root dependencies, and upgrade actions to v3"
"5a89243","ShakiraCasusi","2026-06-01 21:03:29","feat: establish GitHub Actions CI/CD workflows, issue templates, and initialize backend package structure"
"cf46bfb","ShakiraCasusi","2026-06-01 19:17:33","feat: bootstrap multi-container architecture with backend services, PWA-enabled frontend, and CI/CD pipelines"
"2bee62e","ShakiraCasusi","2026-05-24 21:13:38","chore: update backend start command from development to production execution in docker-compose"
"bb2cbf2","ShakiraCasusi","2026-05-24 21:05:52","feat: implement comprehensive multi-container test suite including API, E2E, resource monitoring, security scanning, and pipeline orchestration."
"7e52c0a","ShakiraCasusi","2026-05-24 20:26:59","Merge branch 'origin/test/backend-api-and-db-persistence' into main"
"b647084","shirlymontes","2026-05-24 09:06:38","Create testing-report.md"
"b970f74","Shirly Rose Montes","2026-05-24 08:56:54","Add testing documentation and automated test suites"
"62c0571","Jerico Crisostomo","2026-05-21 17:56:02","test: test report summary"
"4bcbe07","Jerico Crisostomo","2026-05-21 17:50:30","test: add api and db persistence tests, fix auth middleware on protected routes"
"17c138c","Jerico Crisostomo","2026-05-19 22:47:55","updated docker-compose, added nodemon, improved AI service"
"1d67d68","ShakiraCasusi","2026-05-19 21:01:29","feat: implement Docker multi-stage builds and container ignore configurations for frontend and backend"
"f36e978","ShakiraCasusi","2026-05-19 18:57:47","docs: add technical documentation for container setup and architecture"
"4556eaf","ShakiraCasusi","2026-05-19 17:24:17","feat: initialize backend core services, chat architecture, and frontend components for multi-container application"
"5564de3","ShakiraCasusi","2026-05-19 15:58:40","Add README.md and WEEKLY-TASKS.md for project documentation"
"e4db494","ShakiraCasusi","2026-05-19 15:45:32","first commit"
